city,district,organizer,name,tel,fax,address,longitude,latitude
臺北市,大安區,臺北市立圖書館諮詢服務課,臺北市樂齡學習示範中心,02-27552823#2301,02-27010721,10659臺北市大安區建國南路2段125號11樓,121.538199289487,25.029137285905
臺北市,松山區,臺北市立圖書館三民分館,臺北市松山區樂齡學習中心,02-27600408#12,02-27564843,10573臺北市松山區民生東路5段163-1號6樓,121.562838983518,25.059272993849
臺北市,士林區,臺北市立圖書館葫蘆堵分館,臺北市士林區樂齡學習中心,02-28126513#9,02-28127945,11165臺北市延平北路5段136巷1號3-9樓,121.511115547767,25.082254946443
臺北市,大同區,臺北市立圖書館大同分館,臺北市大同區樂齡學習中心,02-25943236#9,02-25991423,10371臺北市大同區重慶北路3段318號,121.513554985408,25.074303003528
臺北市,文山區,臺北市立圖書館景新分館,臺北市文山區樂齡學習中心,02-29331244#11,02-29335340,11669臺北市文山區景後街151號1樓,121.54198899937,24.990058003454
臺北市,內湖區,臺北市立圖書館東湖分館,臺北市內湖區樂齡學習中心,02-26323378#1500,02-26332654,11480臺北市內湖區五分街6號,121.61261198186,25.067414001127
臺北市,北投區,臺北市立關渡國民中學,臺北市北投區樂齡學習中心,02-28582002,無,11260臺北市北投區知行路212號,121.467357623143,25.119894018918
臺北市,中山區,臺北市中山區吉林國民小學,臺北市中山區樂齡學習中心,02-25219196#700、710,無,10491臺北市中山區吉林路110號2樓、4樓,121.530019725454,25.05377069351
臺北市,萬華區,臺北市萬華區老松國民小學,臺北市萬華區樂齡學習中心,02-23361266#148,無,10852臺北市萬華區桂林路64號,121.502762195423,25.038063216507
臺北市,中正區,社團法人臺北市歐伊寇斯OIKOS社區關懷協會,臺北市中正區樂齡學習中心,02-2341-4322分機617,02-23956885,10050台北市杭州南路一段15-1號B1,121.502762195423,25.038063216507
臺北市,信義區,臺北市信義區吳興國民小學,臺北市信義區樂齡學習中心,02-27200226#60#67,02-87883044,11046臺北市信義區松仁路226號,121.568598021552,25.025907990069
臺北市,南港區,臺北市南港區成德國民小學,臺北市南港區樂齡學習中心,02-27851376#165,02-27855253,11556臺北市南港區東新街65號,121.586874174693,25.046892503764
新北市,三重區,新北市三重區集美國民小學,新北市三重區樂齡學習中心,02-89725390,02-29748170,24144新北市三重區集美街10號,121.487923460774,25.056467109852
新北市,板橋區,新北市板橋區後埔國民小學,新北市樂齡學習示範中心,02-29614142#853,02-29611318,22063新北市板橋區重慶路157號,121.462698709901,25.003346211744
新北市,土城區,新北市土城區土城國民小學,新北市土城區樂齡學習中心,02-22700177#843,02-22606748,23670新北市土城區興城路17號,121.441934807897,24.972382581314
新北市,新莊區,新北市新莊區豐年國民小學,新北市新莊區樂齡學習優質中心,02-22017102#59,02-22018113,24241新北市新莊區瓊泰路116號,121.443331568243,25.030931390371
新北市,新莊區,新北市新莊區新泰國民小學,新北市新莊區新泰樂齡學習中心(優先區),02-29971005#128,02-29914564,24244新北市新莊區公園一路91號,121.443331568243,25.030931390371
新北市,中和區,新北市中和區復興國民小學,新北市中和區樂齡學習中心,02-22472993#224,02-22452802,23561新北市中和區復興路301巷6號,121.501930040075,24.989638992115
